

 tanh_sinh
===============
 float
---------------
 k_max = 3.48552
 h     = 0.0544612
       0.267851912872196       0.471163674056257
       0.392216503590633       0.437559603497934
       0.506061143425548       0.394676560629581
       0.607305732671061        0.34588879041786
       0.694808899600435       0.294622376328736
       0.768326781828763       0.243966562704246
       0.828381414791641       0.196406702608172
       0.876075152275288       0.153695989164631
       0.912887543449852        0.11685071224128
       0.940484017396185      0.0862349884680881
       0.960555477900501      0.0616960538616773
       0.974697806353845      0.0427162553514065
       0.984332295005984      0.0285575813965948
        0.99066283870413      0.0183846678470131
        0.99466303378831       0.011360283535492
       0.997085483511854     0.00671262470558476
       0.998485876074332     0.00377671349847365
        0.99925524981329     0.00201363484587602
       0.999654984613793      0.0010120347725229
       0.999850324041564    0.000476687514034949
       0.999939573351007    0.000209091478559799
       0.999977452449775    8.48197432935613e-05
       0.999992281521801    3.15825060261821e-05
       0.999997595603261    1.07061383748892e-05
       0.999999324396534    3.27488178007088e-06
       0.999999830402893    8.95239106331755e-07
        0.99999996236043    2.16421376394343e-07
       0.999999992698292     4.5741919306903e-08
        0.99999999877716    8.34791035639855e-09
       0.999999999825575    1.29779428675471e-09
       0.999999999979119    1.69351424732297e-10
       0.999999999997936    1.82533666476313e-11
       0.999999999999834    1.59682522600832e-12
       0.999999999999989    1.11233712944678e-13
                       1    6.04277988965974e-15
                       1    2.50264247327529e-16
                       1    7.70853767517888e-18
                       1    1.71883201114757e-19
                       1    2.69400920659187e-21
                       1    2.87426613955489e-23
                       1    2.01563436447827e-25
                       1    8.94271706723246e-28
                       1    2.40775477016041e-30
                       1    3.75933648707278e-33
                       1    3.23927119688299e-36
                       1    1.45931331071733e-39
                       1    3.24050173527502e-43
                       1    3.32591761514764e-47
                       1    1.47090169717389e-51
                       1    2.59657021118526e-56
                       1    1.68311808050178e-61
                       1    3.65754187338265e-67
                       1    2.41265651342869e-73
                       1    4.33498169313985e-80
                       1    1.88514889002556e-87
                       1     1.7441762293627e-95
                       1   2.98302044652795e-104
                       1   8.08967827835592e-114
                       1   2.94274487938245e-124
                       1   1.19634646054501e-135
                       1   4.45431335616036e-148
                       1   1.22237962693796e-161
                       1     1.950954631309e-176
 long double
---------------
 k_max = 8.33754760725757
 h     = 0.130274181363399531
                         -1  3.57989619719863115e-2847
                         -1   4.1650069706484948e-2499
                         -1  1.45835650477798187e-2193
                         -1   2.4011314863023278e-1925
                         -1  6.74024594206642037e-1690
                         -1  3.24441855046887422e-1483
                         -1  8.73790830779334645e-1302
                         -1  1.59928248653061817e-1142
                         -1  1.01479482403699123e-1002
                         -1   5.31769941002724351e-880
                         -1   2.80921545042723338e-772
                         -1   1.01558050893954618e-677
                         -1   1.01888328417776229e-594
                         -1   7.31841784316989894e-522
                         -1   6.52791455208262823e-458
                         -1   8.85152878062477549e-402
                         -1   1.64474644289212208e-352
                         -1   2.88618856618774712e-309
                         -1   2.60380869245546222e-271
                         -1   5.34537360389757344e-238
                         -1   9.21615101342279872e-209
                         -1   4.19925088213897803e-183
                         -1   1.38319813769153568e-160
                         -1   7.96793875650631493e-141
                         -1   1.74323037995611928e-123
                         -1   2.86136001529741752e-108
                         -1    6.40544448585451915e-95
                         -1    3.30472101493941804e-83
                         -1    6.22803151992759822e-73
                         -1    6.42377671858903555e-64
                         -1    5.17133456576631813e-56
                         -1    4.43723005120377445e-49
                         -1    5.33480407136279715e-43
                         -1    1.14265995087216573e-37
                         -1    5.38356073303151672e-33
                         -1    6.71369968401811032e-29
                         -1    2.60716996667530583e-25
                         -1    3.63627622324431151e-22
                         -1    2.06458260562849181e-19
      -0.999999999999999996    5.32685838764289315e-17
      -0.999999999999999398    6.87906354133230542e-15
      -0.999999999999951747    4.84012193469181287e-13
      -0.999999999997731466    1.99904367612824248e-11
      -0.999999999933172958    5.17450819721714714e-10
      -0.999999998693485669    8.89190028800076024e-09
      -0.999999982169028895    1.06703573114746394e-07
      -0.999999822407159498    9.34888654709557066e-07
      -0.999998657757433467    6.21960909484629667e-06
      -0.999992032546652107    3.25231911819493105e-05
      -0.999961714633043086     0.00013781213051223375
      -0.999847052008741119    0.000486108004965709966
      -0.999479957019978435     0.00146164141151996092
      -0.998463730927273253     0.00382540360413537728
        -0.9959853314447534     0.00887445916305657873
      -0.990573213444122489      0.0185355756921120977
      -0.979844110029314859      0.0353119473757949528
      -0.960315247133624584      0.0620044528727914631
      -0.927387970470564502       0.101144652530783631
      -0.875626807112936017       0.154121700054839476
      -0.799445553037267694       0.220095774091191137
      -0.694236376576460794       0.294988039378568072
      -0.557811545972413078       0.371063644280909956
      -0.391791557911452975       0.437697390908581857
      -0.202380538469470471       0.483595879692962437
                          0                        0.5
       0.202380538469470471       0.483595879692962437
       0.391791557911452975       0.437697390908581857
       0.557811545972413078       0.371063644280909956
       0.694236376576460794       0.294988039378568072
       0.799445553037267694       0.220095774091191137
       0.875626807112936017       0.154121700054839476
       0.927387970470564502       0.101144652530783631
       0.960315247133624584      0.0620044528727914631
       0.979844110029314859      0.0353119473757949528
       0.990573213444122489      0.0185355756921120977
         0.9959853314447534     0.00887445916305657873
       0.998463730927273253     0.00382540360413537728
       0.999479957019978435     0.00146164141151996092
       0.999847052008741119    0.000486108004965709966
       0.999961714633043086     0.00013781213051223375
       0.999992032546652107    3.25231911819493105e-05
       0.999998657757433467    6.21960909484629667e-06
       0.999999822407159498    9.34888654709557066e-07
       0.999999982169028895    1.06703573114746394e-07
       0.999999998693485669    8.89190028800076022e-09
       0.999999999933172958    5.17450819721714714e-10
       0.999999999997731466    1.99904367612824248e-11
       0.999999999999951747    4.84012193469181288e-13
       0.999999999999999398    6.87906354133230541e-15
       0.999999999999999996    5.32685838764289315e-17
                          1    2.06458260562849181e-19
                          1    3.63627622324431154e-22
                          1    2.60716996667530583e-25
                          1    6.71369968401811028e-29
                          1    5.38356073303151672e-33
                          1    1.14265995087216573e-37
                          1    5.33480407136279715e-43
                          1    4.43723005120377445e-49
                          1    5.17133456576631813e-56
                          1    6.42377671858903555e-64
                          1    6.22803151992759822e-73
                          1    3.30472101493941804e-83
                          1    6.40544448585451924e-95
                          1   2.86136001529741748e-108
                          1   1.74323037995611928e-123
                          1   7.96793875650631493e-141
                          1   1.38319813769153572e-160
                          1    4.1992508821389778e-183
                          1   9.21615101342279821e-209
                          1   5.34537360389757344e-238
                          1   2.60380869245546237e-271
                          1   2.88618856618774712e-309
                          1    1.6447464428921219e-352
                          1   8.85152878062477549e-402
                          1   6.52791455208262823e-458
                          1   7.31841784316989812e-522
                          1   1.01888328417776229e-594
                          1   1.01558050893954618e-677
                          1   2.80921545042723338e-772
                          1   5.31769941002724233e-880
                          1  1.01479482403699123e-1002
                          1  1.59928248653061817e-1142
                          1  8.73790830779334645e-1302
                          1  3.24441855046887422e-1483
                          1  6.74024594206642037e-1690
                          1  2.40113148630232887e-1925
                          1  1.45835650477798187e-2193
                          1   4.1650069706484948e-2499
                          1  3.57989619719862956e-2847
 __float128
---------------
 k_max =  8.3375476072575700048288105421818
 h     =  0.130274181363399531325450164721591
                                        -1   3.5798961971986277196857359881379e-2847
                                        -1  4.16500697064849821582475470827023e-2499
                                        -1  1.45835650477798474917512088578186e-2193
                                        -1  2.40113148630232926038785528861021e-1925
                                        -1  6.74024594206641430613146879443381e-1690
                                        -1   3.2444185504688744158027263968128e-1483
                                        -1  8.73790830779333952910215703342681e-1302
                                        -1  1.59928248653061798417634378309263e-1142
                                        -1  1.01479482403699065494241673459345e-1002
                                        -1   5.31769941002724179877407503361679e-880
                                        -1   2.80921545042723416819464108928108e-772
                                        -1   1.01558050893954593337303305175905e-677
                                        -1   1.01888328417776237939374366151687e-594
                                        -1   7.31841784316989706676596587225587e-522
                                        -1   6.52791455208262872626824601346057e-458
